key	description	normative	pronoun_n	pronoun_d	pronoun_a	pronoun_g	article_n	article_g	article_d	article_a	demonstrative_n	demonstrative_g	demonstrative_d	demonstrative_a	plural	pluralHonorific	pronounceable	history	thirdForm	smallForm	sourcesInfo
er,er/sein	Maskulinum	TRUE	er	ihm	ihn	sein	der	des	dem	den	dieser	dieses	diesem	diesen	FALSE	FALSE	TRUE
sie,sie/ihr	Femininum	TRUE	sie	ihr	sie	ihr	die	der	der	die	diese	dieser	dieser	diese	FALSE	FALSE	TRUE
es,es/sein	Neutrum	TRUE	es	ihm	es	sein	das	des	dem	das	dieses	dieses	diesem	dieses	FALSE	FALSE	TRUE
dey,dey/denen	Neopronomen „dey“	FALSE	dey	denen	dey	deren									FALSE	FALSE	TRUE
die,die/denen	Neopronomen „die“	FALSE	die	denen	die	deren									FALSE	FALSE	TRUE
el,el/em	Neopronomen „el“	FALSE	el	em	en	ems									FALSE	FALSE	TRUE
em,em/em	Neopronomen „em“	FALSE	em	em	em	ems									FALSE	FALSE	TRUE
en,en/en	Neopronomen „en“	FALSE	en	en	en	enes									FALSE	FALSE	TRUE
ey,ey/emm	Neopronomen „ey/em“	FALSE	ey	emm	emm	eys									FALSE	FALSE	TRUE
et,et/siem	Neopronomen „et“	FALSE	et	siem	sien	sier									FALSE	FALSE	TRUE
hän,hän/sim	Neopronomen „hän“	FALSE	hän	sim	sin	sir									FALSE	FALSE	TRUE
hen,hen/hen	Neopronomen „hen“	FALSE	hen	hem	hen	hens									FALSE	FALSE	TRUE
iks,iks/iks	Neopronomen „iks“	FALSE	iks	iks	iks	ikses									FALSE	FALSE	TRUE
ind,ind/inde	Neopronomen „ind“	FALSE	ind	inde	ind	inds									FALSE	FALSE	TRUE
per,per/per	Neopronomen „per“	FALSE	per	per	per	pers									FALSE	FALSE	TRUE
ser,ser/sem	Neopronomen „ser“	FALSE	ser	sem	sen	ses									FALSE	FALSE	TRUE
sier,sier/siem	Neopronomen „sier“ (Pronomen ohne Geschlecht 2.0)	FALSE	sier	siem	sien	sies									FALSE	FALSE	TRUE	Erstellt von {https://www.annaheger.de/pronomen20/=Illi Anna Heger}
they,they/them	Äquivalent zu englischem „them“	FALSE	they	them	them	their									FALSE	FALSE	TRUE
xier,xier/xiem	Neopronomen „xier“ (Pronomen ohne Geschlecht 3.3)	FALSE	xier	xiem	xien	xies	dier	dies	diem	dien	dier	dies	diem	dien	FALSE	FALSE	TRUE	Erstellt von {https://www.annaheger.de/pronomen33/=Illi Anna Heger}.
zet,zet/zerm	Neopronomen „zet“	FALSE	zet	zerm	zern	zets									FALSE	FALSE	TRUE
er_sie,er_sie/ihm_ihr	Neopronomen „er_sie“	FALSE	er_sie	ihm_ihr	ihn_sie	sein_ihr	der_die	des_der	dem_der	den_die	diese_r	dieses_dieser	diesem_dieser	diese_n	FALSE	FALSE	FALSE
er*sie,er*sie/ihm*ihr	Neopronomen „er*sie“	FALSE	er*sie	ihm*ihr	ihn*sie	sein*ihr	der*die	des*der	dem*der	den*die	diese*r	dieses*dieser	diesem*dieser	diese*n	FALSE	FALSE	FALSE
er:sie,er:sie/ihm:ihr	Neopronomen „er:sie“	FALSE	er:sie	ihm:ihr	ihn:sie	sein:ihr	der:die	des:der	dem:der	den:die	diese:r	dieses:dieser	diesem:dieser	diese:n	FALSE	FALSE	FALSE
ersie,ersie/ihmihr	Neopronomen „ersie“	FALSE	ersie	ihmihr	ihnsie	seinihr	derdie	desder	demder	dendie	dieserdiese	diesesdieser	diesemdieser	diesediesen	FALSE	FALSE	FALSE
